,genre,tf_idf
0,Hentai,0.0030333957045618797
1,Kids,0.001216376564864447
2,Shounen Ai,0.0011630006907112295
3,Yaoi,0.0008301117096073994
4,Cars,0.0006578746431738672
5,Josei,0.0005501055557491843
6,Shoujo Ai,0.00041307464849722406
7,Dementia,0.0003832656037668365
8,Space,0.0003616432005654814
9,Samurai,0.000359782224611809
10,Yuri,0.0003581491159625352
11,Sports,0.00021924488176786513
12,Harem,0.00018158323658183043
13,Police,0.0001264630858344791
14,Shoujo,0.00011701503139382312
15,Music,0.00010852005744126583
16,Game,9.851782637267368e-05
17,Martial Arts,9.610855376405426e-05
18,Ecchi,7.686981362514573e-05
19,Historical,3.1517429276336723e-05
20,Slice of Life,3.0246044239328785e-05
21,Thriller,3.0162948551357e-05
22,Mecha,2.9920022896525196e-05
23,Vampire,2.7152172292829076e-05
24,Parody,2.3523241981620707e-05
25,Horror,1.613938382877604e-05
26,Shounen,1.1273094276367182e-05
27,Military,1.1246383245857735e-05
28,Demons,1.1075546840579193e-05
29,Psychological,2.975989945820539e-06
30,Super Power,0.0
31,Magic,-4.710090847647373e-06
32,Seinen,-5.0986425287147915e-06
33,Mystery,-5.380620317261903e-06
34,Adventure,-9.500792742191783e-06
35,Sci-Fi,-1.0342964093977313e-05
36,Supernatural,-1.1552624799255997e-05
37,Fantasy,-1.1780251387623221e-05
38,School,-1.2128039668555724e-05
39,Drama,-1.2253770131631238e-05
40,Romance,-1.5295853335870903e-05
41,Action,-1.948094524990454e-05
42,Comedy,-2.5025856672263935e-05
